ENSG00000158828,ENSG00000143799,ENSG00000135624,ENSG00000144029,ENSG00000270141,ENSG00000109610,ENSG00000164362,ENSG00000150753,ENSG00000146731,ENSG00000096717,ENSG00000151892,ENSG00000172890,ENSG00000139112,ENSG00000166226,ENSG00000177169,ENSG00000150907,ENSG00000129484,ENSG00000198258,ENSG00000156261,Age
0.29763099,0.285083309,0.737427205,0.245181684,0.003647611,0.004859717,0.00146055,0.340418582,0.284455925,0.056364182,5.02E-05,0.339414768,1.000050166,0.155967673,0.53591145,0.117483936,0.031268821,0.793264385,0.462883947,55
0.08854445,0.153879106,0.696293816,0.314611497,0.007666542,0.002554448,0.000122811,0.290624998,0.290213801,0.050851379,0.000270065,0.338597997,0.912857641,0.451631521,0.274679687,0.059532208,0.047333359,1.000122811,0.371996342,65
0.167114821,0.029218718,0.256000071,0.117634485,0.001814103,0.000345307,0.000276678,0.10249498,0.065411104,0.003912534,0.000156881,0.167431326,0.44257997,0.059661257,0.304900146,0.01715459,0.004852554,1.000156881,0.109299845,45
0.364299166,0.354623684,1.000375702,0.40896188,0.002731596,0.007734338,0.000546751,0.67546957,0.420278739,0.056981676,0.000375702,0.452155995,0.753305365,0.214501975,0.563942365,0.124312663,0.031583537,0.762635294,0.641259831,65
0.32676799,0.137593052,0.677109181,0.244882134,0,0.002394541,0.001395316,0.305366005,0.254187345,0.015617246,0.000287686,0.141129032,0.816222084,0.199906948,0.293734491,0.0492866,0.025062035,1,0.402295285,65
0.360749012,0.060927108,0.354549636,0.111953446,0.001578106,0.001183352,0.000105298,0.107577416,0.0789053,0.003659455,0.000173674,0.094905161,0.348714929,0.07519479,0.124443367,0.01480557,0.01148708,1.000105298,0.154802078,65
0.620743845,0.052032478,0.248035621,0.126034573,0,0.002338921,0.000285123,0.492299633,0.093556836,0.011430068,0.000100786,0.152488214,0.311733892,0.072551074,0.432477737,0.020974332,0.009088528,1,0.162388685,35
0.266610341,0.027026022,0.135991889,0.079486313,0,0.001360595,0.000102197,0.198850963,0.075025346,0.01556607,5.62E-05,0.160966543,0.115106455,0.071747212,0.195741805,0.01901318,0.007428185,1,0.101858736,35
0.249825581,0.042877986,0.203564717,0.128337955,0.000692222,0.001767554,0.000646553,0.259720501,0.122460203,0.011928875,6.35E-05,0.128295669,0.169270785,0.077171917,0.276000604,0.020212699,0.010254351,1.000063471,0.206693879,25
0.99182434,0.153492175,0.701471619,0.294090166,0,0.025344546,0,0.23943004,0.146998365,0.004615744,0.00302733,0.208572763,0.68582107,0.086989021,0.393833217,0.032095305,0.027003037,1,0.279373978,55
