,,CCT2,CCT5,CCT6A,CCT7,CCT8,Pink1,Parkin,Atg1,Atg8,FOXO,PARP1,SIRT1,PARP2,NADSYN,MRPS5,Ubl-5,SOD3,RETL1,TERT,TERC,GAPDH
,,29.86769676,24.91611099,27.62722588,34.37168121,25.9173317,28.17113686,28.17113686,33.69867706,30.70487404,29.13744354,34.83301544,31.31577301,33.80734253,33.15435028,37.01351929,33.94959259,27.27135468,29.23144722,32.99427032,27.94663811,22.25644493
32,W0_sub7_youth,27.5046196,24.18148613,26.41212463,27.38538742,25.59151649,26.28893471,26.28893471,32.55932999,31.04123497,27.91254044,30.64226913,29.06503487,30.40302467,28.29204178,35.97792053,32.22694016,26.15236473,27.3155899,31.18058586,27.24358368,21.32069206
,,27.60308838,24.25138855,26.23716927,27.223032,25.55715942,26.70371628,26.70371628,31.88676834,30.53895569,27.38834763,31.21839333,29.28691292,32.11772919,28.56744003,33.85840988,32.24822617,25.83026314,27.42882538,31.34122467,26.8911972,21.34816551
,,27.20775414,23.84843445,26.46427727,26.32832718,25.84592438,26.31055832,26.31055832,31.9155426,30.38187408,26.99555588,31.76235199,29.40125275,32.32183838,28.49528694,34.68231964,32.41442871,26.11126518,27.4409771,31.1034584,26.89187241,21.28051376
28,W0_sub8_youth_greentea,26.91249275,0,26.91932106,26.94545174,25.23369789,27.75901222,0,33.78072739,31.2137394,29.2934761,29.70116425,27.8357811,28.6949501,27.3001442,35.6967659,33.55886078,24.90186691,29.10101128,33.21113205,28.07489014,20.24856186
,,26.91810799,24.14458466,26.84580231,26.97689247,25.23836136,28.28822517,0,33.20974731,30.76795387,28.97429657,30.0867424,28.32740021,30.97515869,27.32026672,35.15056992,33.88599396,24.81849289,28.86108208,32.7894249,27.66744804,20.31912041
,,26.92376328,24.18568802,26.91218948,26.83921432,25.47811317,28.10156059,0,33.22941589,30.58777809,28.98186874,30.50574875,28.42809868,31.10925674,27.57038307,34.83663177,33.56212616,25.00841713,28.73043633,32.84448242,27.82308006,20.1344223
36,W0_sub9_youth_greentea,27.64414406,23.90750694,25.7839241,28.44831848,24.91640854,25.78625107,0,31.36658096,29.96421242,26.38184547,31.81597137,29.18601036,32.34159088,29.00258255,35.81191635,31.17332077,25.58433342,26.6576786,29.97932053,25.98821068,21.35138321
,,27.93568611,23.89432144,25.64697647,28.48206329,24.91876793,25.89839935,0,31.56622505,30.93773651,26.70415497,31.52511024,29.86639214,32.24806213,29.37845612,35.58799362,31.40285683,25.92758369,26.56586266,30.34633255,26.65995789,22.02479935
,,27.94139862,23.96041107,25.92009354,27.78158188,25.68017006,25.88365936,0,31.79428864,29.92106628,26.92326546,31.6122818,29.73085785,32.32399368,29.43132019,35.41571808,31.25144196,25.92683792,26.59416771,29.84280586,25.97378349,21.65352821
35,W0_sub10_youth_greentea,28.0941124,24.90828514,26.92443275,28.06369209,25.70841408,26.80732346,0,32.6189003,29.71821976,27.92312241,31.69212723,28.63375664,32.663517,28.479105,35.91867065,32.55418777,26.66566658,27.95971489,31.34957314,27.06306839,22.01338387
,,28.31845856,24.88646507,26.76930809,27.92556953,25.6109066,27.05909348,0,32.48811722,30.95317841,27.98086548,31.00165749,29.04390907,32.42037201,28.73641777,36.47944641,32.62138748,26.9682827,27.97779083,31.46292877,27.86896324,22.49205017
,,29.2648716,25.64702225,27.85347939,27.96675301,26.97169304,27.95923996,0,32.3821373,29.94538689,28.47073746,31.54738998,29.05874062,32.59470367,28.94495392,35.96327972,32.19032288,26.86322594,27.951334,30.99949837,27.05987358,22.58227539
37,W0_sub11_youth_greentea,25.89105034,23.79279709,26.25834465,25.54348373,24.0551815,27.95193672,0,32.89521408,29.71608543,28.55578804,28.44758224,26.29508591,29.95020103,25.54861832,34.76092529,33.37896729,23.93785095,28.7474556,31.92413902,28.72169495,19.79631805
,,25.27552223,22.92676735,25.96314049,25.17545319,23.76060867,28.22572327,0,32.85897446,29.92733192,29.38533974,28.34471703,26.85499382,30.19097328,25.97416115,34.05226135,33.74909592,23.96733284,28.51797485,32.46339417,28.94955635,19.27997017
,,25.64438248,22.98588562,25.79986572,24.10933685,23.57087708,26.88255882,0,32.88563156,30.19053078,28.76236534,27.61252403,26.65530396,29.91921616,25.93386269,33.11450958,33.53588486,23.99340057,28.5159626,31.92351151,28.38363075,19.1073513
45,W0_sub12_youth_greentea,25.93017578,23.70923042,25.89077568,25.50741959,23.8122654,27.90755844,0,32.95473862,29.61125183,28.10264015,27.94572258,24.75067711,27.90919495,23.57780075,31.98167419,35.12543106,23.93795395,29.29161072,32.80997849,29.94537735,19.40184402
,,25.6410408,23.10074043,25.90789986,25.18148994,23.33283234,28.12954521,0,32.88122559,29.74319458,29.3342247,27.90756989,25.3957119,28.49062729,24.9220829,33.55154037,35.66378021,24.31919479,29.37388802,33.92694855,30.55099487,19.53275871
,,25.92172432,23.26926994,25.89444923,24.48213577,23.72920799,27.34776115,0,32.93971252,30.07418823,28.93873596,27.26298332,25.56107903,28.88916969,25.28906059,33.61942673,35.94960785,24.75658226,30.06810951,33.91081619,30.62757492,19.26987648
40,W0_sub13_youth_greentea,26.27440643,24.38207245,26.50296783,25.93925476,24.79984474,26.6912365,0,32.33099365,29.81617165,27.49274635,28.90567017,27.09218025,30.18644142,25.96334267,35.30091095,32.09909058,24.77546883,27.23011208,30.34328461,26.94309616,20.59388924
,,25.87487411,23.53069496,26.11854172,25.79929924,24.81323433,27.0320549,0,32.51540375,29.84465599,28.02388191,29.28270721,27.33300781,29.93362617,26.37972641,34.9602623,32.26707458,24.92220497,27.44345474,30.95830727,27.50356102,20.6631012
,,25.82537651,23.34755325,25.64044952,24.12149811,23.9227562,25.4529171,0,31.90432358,30.3801918,26.93866539,27.86434364,27.00262451,29.93573952,26.34818649,35.12193298,31.83549118,24.87038612,27.54261589,30.58146286,26.94255447,20.01594734
35,W0_sub16_placebo,28.49962997,25.65490723,27.31706429,28.45687485,26.29323196,27.20369911,0,32.25260544,29.76622581,27.19595528,31.2980957,29.06326675,30.80145264,27.06121826,34.64815521,31.59138298,25.76768494,26.93357086,30.34379387,26.20165825,22.44019699
,,27.88162613,24.88289833,27.47864151,28.58863258,26.30190277,27.40051842,0,32.9318924,29.70791817,28.67094994,32.72552872,30.26555252,32.18306732,29.38472366,36.69273376,32.53524399,26.55877304,27.52758789,31.44002724,27.4992485,22.07068634
,,27.08707237,23.88973808,26.13088417,26.12132835,25.14884949,25.64995003,0,32.37626648,30.25520897,27.89111519,31.36483574,29.99343491,32.21626663,29.00353622,36.64428329,31.95451736,26.68822861,27.22533798,30.34804916,26.53745651,21.84765244
33,W0_sub17_placebo,27.91606522,23.88918495,25.61918068,27.32859039,24.70010376,25.4530983,0,31.53602982,29.93302536,26.57635498,29.71740532,29.99133873,30.91453743,26.9424324,34.77809143,31.58299828,26.4287529,26.93202591,30.09658051,25.94099808,21.56958771
,,27.92268753,24.34862328,26.13686562,27.95807457,25.36381531,25.90663338,0,31.55223465,29.70729256,26.69451332,29.40550804,29.48945427,30.71890831,26.93478012,34.32247543,31.66483116,26.3269043,27.37897682,30.25027275,26.15516853,21.94157982
,,27.92239189,24.0442524,25.91715431,28.63728714,25.3053875,26.77490997,0,31.87762451,28.93460083,27.39667702,29.90276146,30.44789124,31.48216057,26.65065956,34.9716835,31.02945709,25.96914482,26.93477058,30.06370354,25.93752098,21.90258408
36,W0_sub18_placebo,28.00145531,23.91727257,26.30727386,28.94975662,25.20121765,25.89565468,0,32.11763763,29.60508156,27.09609604,31.87866592,30.2359333,31.97039795,27.88844109,35.44118118,31.94241333,26.29206467,27.08187866,30.36251068,26.32058334,20.57068825
,,28.08790016,23.99394417,26.31409454,28.80849075,25.55106354,25.60604477,0,31.71366882,29.67870331,26.92008209,31.60369873,29.89360046,31.69411278,27.43805504,34.91656113,31.83686638,26.08470917,27.23318481,30.19339943,26.46443558,20.9054985
,,27.98943138,23.83573914,25.96256447,29.64270973,24.91259766,26.3580761,0,31.43348885,28.93416786,26.9571228,31.15672302,30.21469116,31.96551895,27.14838219,35.09947968,31.49229622,26.0604744,27.20916557,29.93229675,26.62861824,21.10138321
36,W0_sub19_placebo,26.41723633,23.61059952,25.59001541,25.73485374,24.41205597,25.67826843,0,31.47845459,29.68913078,26.31535339,27.42352295,27.75107765,29.8055954,26.72405815,35.11024094,32.48966217,25.91688919,27.93314552,30.92918968,27.02196884,20.09573936
