,,CCT2,CCT5,CCT6A,CCT7,CCT8,Pink1,Parkin,Atg1,Atg8,FOXO,PARP1,SIRT1,PARP2,NADSYN,MRPS5,Ubl-5,SOD3,RETL1,TERT,TERC,GAPDH
,,27.62072372,24.92529678,26.92201233,25.81338501,24.92398453,27.59445381,28.92332077,30.58815765,31.77892113,27.83765793,28.55940628,27.81528664,28.5463829,24.91694832,31.75022316,24.21537399,31.93242836,28.68997955,28.43377495,31.77128792,18.49913025
37,W2_sub20_placebo,29.61949921,26.55940437,28.18281937,27.98576546,25.93338966,26.92921066,27.50593376,29.92108917,32.85002136,29.28289032,30.49985313,29.44561958,30.75325203,26.86762238,30.27338791,25.80545616,30.92118263,27.45843315,27.77747917,31.9278698,19.8315239
,,29.53151321,25.79116249,28.97784615,27.66497612,25.73687935,27.29263496,28.45046425,28.9182415,32.18048859,29.04796982,30.87783623,29.59844017,30.89995956,26.28688622,30.92712784,25.81109428,30.22682571,27.93006706,27.45743179,31.91853905,20.21930695
,,29.62009811,26.21728134,28.83859444,27.93222427,26.35341454,27.33964157,27.86841583,29.91166687,30.93482399,29.17117119,31.4157238,29.59171867,30.80842209,26.57269096,30.87631416,25.54915047,30.08373451,27.92084503,27.16695786,31.70365715,19.78389549
42,W4_sub1_youth,27.17551041,25.65792084,27.23023605,26.80757523,25.60863113,25.6031723,25.93223,28.5642128,30.43912888,28.9235878,23.85188293,30.41530418,29.08407021,27.79008102,28.09041786,31.82991982,26.23563957,25.76349068,28.27864838,26.91941643,21.91195488
,,27.22579002,25.7011776,27.92531204,26.46478653,25.79882813,25.53414154,25.71360016,28.91800117,30.51375961,29.34560013,29.73617744,30.91741371,30.37228394,26.91551208,28.05832863,30.94544029,25.80930138,25.57269096,28.63268661,26.64363289,21.93222427
,,27.31049538,25.79776573,27.36453438,26.19182014,25.10886765,25.38781738,25.82291508,28.50130272,29.92585564,28.9274044,29.73980904,30.52683258,29.54590416,27.40628052,28.44748878,30.38160515,25.93354797,25.66316795,28.40256119,26.7979126,22.58083725
49,W4_sub2_youth,26.59107971,25.58184433,27.52059174,26.39977264,25.40701485,28.88807869,29.89501953,31.93309212,30.70783234,28.67083168,21.46798706,30.1314621,28.38918495,25.8939991,31.78603935,33.66655731,24.82704544,29.42160416,32.72084045,30.73133659,20.79673004
,,26.97941208,25.24189949,28.20010757,26.696558,25.61669159,28.56403542,29.27247047,32.35951233,30.85971451,28.5502739,28.35607719,29.95510864,28.45227051,25.54916382,31.41123009,33.58736038,24.93359184,28.9989624,32.31390762,30.40966988,20.30651665
,,26.71565056,25.4525547,27.46644211,26.34246445,24.97916603,29.11914825,30.41853523,31.43222046,30.41702271,28.91350174,28.47624397,29.94818878,27.88599396,25.56965828,31.68250656,32.91976547,25.14171982,29.11071396,32.48716354,30.47417068,20.91475105
34,W4_sub3_youth,28.52182007,26.69421959,28.93850136,28.9516716,26.57662964,27.95012283,27.98586655,30.82149887,30.86282158,29.84672928,23.84033394,33.46955109,30.35323906,28.51385498,30.6996479,32.37223434,26.96445084,27.8261795,30.72403717,28.89854622,22.80289841
,,28.51650238,26.79015732,29.78767204,28.91971588,26.90952301,27.91322899,27.9378109,31.59596634,30.9210186,31.19013977,30.39025497,33.26071548,31.18260765,28.10924339,30.34346199,31.8842659,26.55532837,28.47631073,30.0378437,28.68533325,22.67333984
,,28.73461533,26.70962906,28.93476868,28.92441177,26.22035027,28.36989212,28.58702469,30.93654823,30.65794945,29.80470848,30.44183922,32.91219711,30.16641045,28.14516068,30.60850906,31.86748123,26.85109329,27.82974815,30.6448555,28.97185326,22.82810402
35,W4_sub4_youth,27.34685516,26.7071991,28.60342789,27.55270958,26.45298576,28.84122658,29.50735474,31.92793083,30.79414177,30.52794266,15.57237625,30.13432884,29.04128456,26.86633301,31.92151451,33.68842316,25.93107033,28.75321388,31.92717171,30.41928291,21.77391243
,,27.79330444,26.67412949,29.66226006,27.44820023,26.73599625,28.73599625,29.25888443,32.31715012,30.85935593,31.92624855,28.52524757,30.10396194,29.64985657,26.93287849,31.90606308,33.92694855,25.52560043,29.45058441,31.93438339,30.47056961,21.90105438
,,27.92402649,26.60812187,28.8387928,27.53011322,25.92974472,28.91741562,29.76555252,31.85126877,30.66560173,30.72014618,29.06901169,29.78326607,28.62812614,26.92234993,32.05456161,33.4709816,25.94347572,28.93373871,31.95504189,30.31095123,21.78337479
38,W4_sub5_youth,26.6321888,25.8761692,27.69277382,26.79689217,25.57761955,27.93063354,28.73077011,30.83054352,30.74680519,28.79312706,22.26821709,29.90062714,28.75024223,26.55825996,31.18425941,31.92505646,25.81776237,27.9083519,30.99764061,29.23684692,21.47641945
,,26.94434357,25.92001534,28.60964012,26.93129349,25.94196892,27.95772362,28.36657524,31.43553543,30.90249252,29.11834335,28.92134094,29.61446762,28.78664589,26.12453651,30.79919243,32.00371552,25.43700981,27.93252563,31.20590973,28.93339157,21.35613823
,,26.92452621,25.92105865,27.82378197,26.79636192,25.12129211,28.45297432,28.93161011,30.92464256,30.68751335,29.21790504,28.8469429,29.7669487,28.10789299,26.27053261,30.91796494,31.81469154,25.71713448,27.9516449,30.86601067,28.93292999,21.39801407
32,W4_sub6_youth,26.68213844,25.92373085,27.62166786,26.83756256,25.92103386,27.6905899,27.66146088,30.581707,30.93538284,28.51334953,22.26202965,29.35665894,28.68156815,26.88945389,30.7777195,31.83882713,26.01252937,27.87102318,30.95389366,28.44175148,21.62511826
,,27.06575584,25.92928505,28.5581646,26.96940994,26.30805588,27.69758224,27.3898735,31.01243401,30.74473763,28.84579659,28.94363213,29.53439903,29.94741249,26.57538414,30.29937363,31.46100616,25.55554771,28.93648338,30.71783829,28.52895355,21.59077644
,,30.64895248,25.17915344,28.08991623,25.74678802,25.66003418,27.96759987,27.9106884,30.54117966,30.85172462,28.69884491,28.93081093,29.3287487,28.55255508,26.5451088,30.71661186,31.58097076,25.82837105,27.92976189,30.67194748,28.37430763,21.66392899
32,W4_sub7_youth,25.66931534,24.92202759,26.95934868,25.59759331,24.84264565,27.50757408,28.8328476,30.83562851,30.88025475,29.15287781,20.87688637,28.92645645,27.66995811,25.60743141,30.34064293,32.23576355,24.10494614,28.41167831,31.19480515,29.4202404,20.89732552
,,26.07023048,24.87723541,27.72041702,25.60010529,25.22601891,27.63470078,28.48245049,31.36346436,30.753088,29.79660797,27.96068001,28.90905762,27.9313755,25.1569519,30.57878876,31.90522575,24.35601616,28.13900185,31.70785713,29.32692719,20.36499977
,,26.00269699,24.93074036,26.82162094,25.64006424,24.45846367,28.05415535,29.01172447,30.57530785,30.73667145,29.46736336,28.13759422,28.88667488,27.43036461,25.26424789,30.71606255,32.13607025,24.71556854,28.03715706,31.29759216,29.35201263,20.24716759
28,W4_sub8_youth_greentea,26.56840897,25.79862213,27.93117523,26.24183655,25.68213844,28.51107979,29.71798134,30.93033409,31.93651772,29.92958641,29.77172852,28.31120491,29.39085579,26.2113533,31.47362328,24.91006851,32.80727768,29.91256142,29.37449265,33.19187164,19.68475533
,,27.17543983,25.93309402,27.87818336,26.28495407,25.72472,28.05750465,29.81874466,30.4652729,31.27758408,30.1287384,29.57788467,29.22015762,28.97367859,25.6510582,31.92158318,24.94109344,32.93370438,30.04779053,29.09897804,32.92566681,19.85573769
,,26.84662056,26.33228302,27.97850037,26.41480637,25.93352509,28.73599434,30.16062737,30.87068748,31.92182159,29.9333744,30.90644073,28.43526077,29.61955452,26.19558144,31.91440582,24.94297409,33.04019928,30.27830505,28.13074493,33.56817627,19.39066124
36,W4_sub9_youth_greentea,27.4360466,26.11863899,28.65956879,26.93532562,25.78093338,29.14637184,29.69157791,30.74019432,31.69003868,30.45522499,30.03664017,28.93000221,29.50005531,26.51202965,31.37256813,25.13567162,32.4290657,30.01403809,28.92457962,33.28893661,19.8177948
,,27.57993507,26.37775421,28.57183075,26.96594238,25.98111153,28.36838722,29.8417263,30.37357521,30.69727135,30.64492607,29.9302578,29.56526184,29.53084564,26.26183701,31.45814514,25.25217247,33.1092186,29.92048454,28.48224068,33.80992889,20.11901283
,,27.4211483,26.52048302,28.5618,27.11056709,25.97086906,28.38618279,29.7144146,30.54387474,31.90921783,30.62805748,30.93624878,28.24602318,29.81552124,26.51673698,31.68569946,25.05996704,32.7334137,30.40549088,28.54784012,32.93790436,19.65677452
35,W4_sub10_youth_greentea,25.58143425,24.69688034,26.66011429,25.31713295,24.31936836,27.53470993,28.93502426,29.95331764,31.37285614,28.68102646,27.78306961,27.29680252,27.97645569,24.92505646,30.36986351,24.3237114,32.16666794,29.3219471,28.61040115,32.68179703,19.00233841
,,25.66875648,24.99821091,26.57234955,25.4160614,24.71861076,27.547575,28.97195625,30.88527298,31.5309639,28.56932831,27.76200867,27.93258476,27.70165634,24.6662426,30.67361641,24.02687263,32.41664124,29.21131897,27.99603844,32.24154663,19.23116302
,,25.7535038,25.07829285,26.88436127,25.45055199,24.48740005,27.66447067,29.07323837,29.77773094,31.7252903,28.48077202,28.26871109,27.1770916,27.93114471,24.92536926,30.8933239,24.33483887,32.06674576,29.31414032,27.16537857,32.92549133,18.97158623
37,W4_sub11_youth_greentea,25.17658424,23.93206978,26.10505676,24.93199158,23.88555336,25.93394089,26.7489109,28.17406464,31.92042542,26.89533424,27.28125,26.30283737,28.02999115,24.96454811,28.92795753,23.92675972,29.45876884,26.92944527,26.34049797,29.92647552,18.49373627
,,25.28289413,24.40212631,25.92461395,24.92961121,24.18720245,25.9211235,26.63873482,28.91535568,30.92683029,26.8173008,27.72504234,27.41283989,27.65884018,24.61371231,29.24228859,23.6910305,29.73403168,26.7381649,25.93624496,29.89055443,18.67254448
,,25.22434235,24.58516502,26.27085495,24.93043137,23.86297989,25.71122169,26.92908287,27.93372726,31.94624901,26.81110954,27.89678383,25.92535782,27.89884949,24.77580833,28.9096756,23.93589783,29.2206974,27.65881538,25.61306953,29.66712189,18.31711006
45,W4_sub12_youth_greentea,25.48391342,24.50474358,26.40636253,25.169487,24.3109684,26.35832214,27.04943085,28.60128593,31.79324722,25.99665833,27.95131493,26.39758492,27.91889,25.13329506,29.53416061,24.11221123,29.86769295,27.35967445,26.61359596,30.53693962,18.58991241
,,25.69271469,24.66163445,26.24472618,25.18929482,24.93409348,26.62325287,26.91164589,30.64019394,30.37554169,25.93361473,28.29510117,27.222826,27.73680687,24.96676636,29.74305916,23.92715263,30.07284546,27.20451736,26.3487854,30.32399559,18.94200897
,,25.69721985,24.60392189,26.53713036,25.11238098,24.20682716,25.92230415,27.28208733,28.29658508,31.74058342,25.93032837,28.42988014,26.14909172,28.04884338,24.96625137,29.4028759,24.19327164,29.93817902,27.31789017,25.21756935,30.05221939,18.74802589
40,W4_sub13_youth_greentea,24.59432793,23.90876579,25.73175812,24.47343826,23.93370056,26.04304504,26.90065956,28.30953789,31.81308556,26.53036118,27.13118935,26.18819809,26.95189857,24.41346931,29.51641083,23.48463249,29.76702881,27.2484169,26.52792168,29.99296188,18.12067986
,,24.66724396,24.00077057,25.59551048,24.36493492,24.32761955,26.26320648,26.92278481,29.50758743,31.43384361,26.52343559,27.63440323,26.49431419,27.22055817,24.45356941,29.31154251,23.39216232,29.92285347,27.10840988,26.32912827,30.06350136,18.47292709
,,24.87608147,24.13870621,25.92235565,24.44184113,23.88198662,25.68284035,27.01006699,27.89933777,31.75815201,26.57820129,27.45730972,25.97636032,27.18025208,24.46319008,29.34417725,23.45573997,29.7953167,27.08288383,25.97553635,29.66499901,17.96570206
35,W4_sub16_placebo,26.14546204,24.92424202,27.00677681,26.64528847,24.80171013,27.95364952,28.80975151,29.97215652,31.73385239,28.97858429,28.92837334,29.25167847,29.26613998,25.75689316,30.26298523,24.61832047,31.27470207,29.26693726,28.40702248,32.54238892,18.79199982
,,26.17862511,24.98160934,27.10249519,26.58491516,24.92993355,28.11694908,28.74492836,30.6328907,30.83118629,28.94372368,29.25268745,30.06972313,29.03533363,25.92571259,32.48506546,24.38059807,31.78449821,28.93258095,27.8211441,32.17680359,19.21001244
,,26.5571022,25.09466362,27.25285149,26.59781075,24.67561913,27.68152237,28.93176842,29.54404068,31.37854195,28.86858749,29.36318779,29.85712242,29.31117249,25.72675514,30.91897202,24.5070343,31.43212509,28.92829895,36.9651947,31.56338882,18.63213921
33,W4_sub17_placebo,26.97631073,24.9246006,26.92676926,25.79389954,24.93961906,26.63101959,26.6903553,30.9130249,30.92849541,27.16765785,27.95867348,27.65653992,28.65670776,25.0780468,29.37145424,24.56271935,29.46827698,26.93514824,26.41717529,30.60079956,18.79337311
,,27.58131599,24.92789459,26.85495186,25.92390823,24.26023865,26.68691444,26.85640144,27.68592453,31.01369286,26.88059616,28.4226265,27.77764893,28.90579796,24.96783829,29.72293282,24.398283,29.51201057,27.21873856,25.97376442,30.69591141,17.66570282
,,27.27881336,24.9262476,26.89086056,25.85890388,24.59992886,26.65896702,26.77337837,29.29947472,30.97109413,27.02412701,28.19064999,27.71709442,28.78125286,25.02294254,29.54719353,24.48050117,29.49014378,27.0769434,26.19546986,30.64835548,18.22953796
36,W4_sub18_placebo,27.33112335,24.92378807,26.66432953,25.79273224,25.53078079,25.69202423,25.62336922,29.54008102,31.60421562,27.163311,29.19198799,26.93109512,28.89924622,25.7587738,28.71999931,24.92287636,28.30628395,26.06569862,25.3861866,29.91969872,19.44765663
,,27.96017838,24.94357681,26.6329937,25.8630867,24.92168999,25.62858009,24.92650032,26.41402435,30.9487648,26.92357826,28.92724991,27.68581772,29.46502113,25.91527557,29.8853035,24.92669106,28.27629089,26.3796978,24.92893219,29.91173935,19.49261284
,,27.64565086,24.93368244,26.64866161,25.82790947,25.22623539,25.66030216,25.27493477,27.97705269,31.27649021,27.04344463,29.05961895,27.30845642,29.18213367,25.83702469,29.30265141,24.92478371,28.29128742,26.22269821,25.15755939,29.91571903,19.47013474
36,W4_sub19_placebo,28.16734505,25.8609333,27.94739723,26.72448158,25.95454407,27.71068764,27.93140602,30.14036179,31.81891823,28.9247303,29.73714256,27.74020004,29.53329659,25.47335434,30.91700172,25.11672783,30.93510437,28.12535095,27.922369,31.93098068,19.76281929
,,28.97180748,25.872612,27.93091011,26.92829132,25.62095833,27.93210411,0,29.31710243,30.92202377,28.7006588,29.8906002,28.93084335,29.87670326,25.58543205,31.61094093,25.1815052,30.94524956,28.31068802,27.50138664,31.88421822,19.8619175
,,28.56957626,25.86677265,27.93915367,26.82638645,25.7877512,27.82139587,27.93140602,29.72873211,31.370471,28.81269455,29.81387138,28.3355217,29.70499992,25.5293932,31.26397133,25.14911652,30.94017696,28.21801949,27.71187782,31.90759945,19.81236839
37,W4_sub20_placebo,27.91483879,25.69023705,27.82908058,26.9487896,25.62643623,25.92013168,26.75564384,28.41108131,31.64356232,27.93519211,29.89805412,26.85980415,30.42813873,26.91641235,30.77951431,25.66150093,29.31879044,26.84183502,26.25866699,30.6063118,20.16830826
,,28.93538857,25.64205742,27.64996529,26.95211411,25.49585724,26.63556099,0,27.92506409,30.92659187,27.43407059,29.77041054,27.76779938,30.38136673,26.69245529,29.64739418,25.58499527,29.12695122,26.92097092,25.86522865,30.78104019,20.09249306
,,28.42511368,25.66614723,27.73952293,26.95045185,25.56114674,26.27784634,26.75564384,28.1680727,31.2850771,27.68463135,29.83423233,27.31380177,30.40475273,26.80443382,30.21345425,25.6232481,29.22287083,26.88140297,26.06194782,30.69367599,20.13040066
