CT,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Parkin,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,GAPDH
W4-4,27.27912712,23.83528137,25.58230591,25.23880959,23.92444611,25.14448738,34.89789963,27.93528748,32.85205841,25.71017647,27.57081032,25.14848518,29.22041321,24.84840012,27.35396576,24.11404037,28.31922531,23.36151695,25.41095924,25.34411621,20.07511139
W4-5,25.88174438,23.24044037,24.09501648,24.22722626,23.07138824,25.40874863,34.99045563,27.73831749,33.00474548,25.39959145,25.96392441,23.98004723,27.28064728,23.99352264,26.62393951,23.3252449,28.6276722,23.98595428,25.51978493,25.4807148,19.52359962
W4-5,25.70820427,23.43021774,24.08529091,24.14125061,22.8779583,25.07186699,35.00076294,27.69295692,32.43302155,25.62031174,25.99688148,23.77126312,27.2098465,23.93427086,27.18024826,23.33691216,29.35433197,24.66065598,25.81406403,25.54115677,19.58047295
W4-5,26.71112061,23.46560097,24.07279205,24.47948837,22.99977684,25.21408081,34.87021255,28.08875465,32.27627563,25.63875008,25.61065483,23.52626038,27.5236969,23.63639259,27.32841301,23.2912941,30.21364212,25.45172501,25.67699814,25.90039825,19.68170547
W4-6,25.34135437,23.18094254,23.91269875,24.12828445,22.96912575,25.28403282,34.90149689,28.90452766,31.37625122,25.52828789,26.36097717,24.21740532,28.0135746,24.48224068,28.11693573,23.96343803,28.99761963,24.47162247,25.57932281,26.01030922,20.01536751
W4-6,25.72600555,23.48719215,24.34022903,24.45594978,23.23895645,25.51248169,34.77585602,28.92564964,31.8880043,25.85564423,26.41038704,24.33648109,27.81183243,24.19953728,27.92310715,23.67598343,29.21356201,24.06446457,25.29504585,25.83350372,19.96958923
W4-6,26.30260658,23.76586533,24.65594673,24.49462891,23.51406479,25.32115173,35.22180939,28.68183708,31.97860146,25.58682251,26.27326202,24.43774796,27.48653221,24.05776405,27.51073074,23.25497246,28.24604988,23.61175346,24.89020157,25.45563126,19.48766899
W4-7,26.85194588,23.95401764,24.869627,25.0774765,23.80694962,24.83719063,35.9851799,27.93036652,31.59041405,25.80059052,28.01160431,25.59157372,29.17404175,24.47880745,28.0994072,23.70993996,28.5479126,23.01444626,24.9835186,25.65384293,20.01905251
W4-7,26.33841324,23.56679726,24.64860725,24.62403107,23.15565491,24.97822571,36.05726624,27.61940384,31.34359932,25.56614304,27.87267303,25.50123978,29.30081177,24.5977459,27.86483765,23.65606499,27.9750843,22.88634491,24.63323021,24.97731209,19.85565758
W4-7,26.76565742,23.97574043,24.88480568,25.0705452,23.73680305,24.87515259,36.31573868,27.70214844,32.00054169,25.75252914,28.38826561,25.83359146,31.39466286,24.92999649,27.43463326,23.96134377,27.94559669,22.9933815,24.95036507,25.14806747,20.01521301
W4-8,25.51530647,23.06468201,23.85650444,23.96649361,22.15726852,24.38116264,35.99238968,27.24586105,31.36376572,25.66514969,26.30961037,24.4377594,27.2700386,23.88980293,26.62577438,23.27338219,27.71163177,22.33040047,24.61571312,24.6792202,19.26786613
