,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,age
49,1.287197363,1.130289597,1.237128208,1.265637878,1.203993076,1.24009365,1.506842662,1.43804486,1.286899968,1.372229292,1.464017746,1.483088735,1.334724126,1.634396834,1.515098476,1.221183124,1.464053,1.267043782,1.285163414,32
22,1.280482201,1.104997938,1.187413941,1.282971088,1.152193609,1.194468131,1.45177255,1.354071836,1.233189403,1.360962682,1.374767263,1.423486714,1.231054176,1.590984278,1.441245674,1.203490093,1.382133796,1.192924816,1.242028951,33
57,1.280482201,1.104997938,1.187413941,1.282971088,1.152193609,1.194468131,1.45177255,1.354071836,1.233189403,1.374767263,1.360962682,1.423486714,1.231054176,1.590984278,1.441245674,1.203490093,1.382133796,1.192924816,1.242028951,33
12,1.314561812,1.141631282,1.231815786,1.334848734,1.196938651,1.224311118,1.501340356,1.465376532,1.275989631,1.513665457,1.38316369,1.4891863,1.360209756,1.622204172,1.499626501,1.258072313,1.44407968,1.248547604,1.263441299,34
45,1.314561812,1.141631282,1.231815786,1.334848734,1.196938651,1.224311118,1.501340356,1.465376532,1.275989631,1.38316369,1.513665457,1.4891863,1.360209756,1.622204172,1.499626501,1.258072313,1.44407968,1.248547604,1.263441299,34
63,1.314561812,1.141631282,1.231815786,1.334848734,1.196938651,1.224311118,1.501340356,1.465376532,1.275989631,1.38316369,1.513665457,1.4891863,1.360209756,1.622204172,1.499626501,1.258072313,1.44407968,1.248547604,1.263441299,34
13,1.36126199,1.211587448,1.343919093,1.382784201,1.268292858,1.485808971,1.7264751,1.58697049,1.530738038,1.538066381,1.392192241,1.487780741,1.389944926,1.727967578,1.758963097,1.265310002,1.734850593,1.464627607,1.502357457,35
18,1.277095958,1.124524493,1.215531443,1.251436595,1.166994885,1.219681781,1.453159687,1.350721106,1.257677838,1.40474575,1.292880724,1.455983421,1.284295997,1.615219803,1.45132244,1.199879619,1.398348536,1.222159855,1.250435295,35
20,1.300751708,1.161195278,1.271150887,1.36553217,1.17865904,1.287994319,1.531609078,1.407835388,1.325221077,1.428531633,1.348061497,1.396493943,1.237023002,1.668899638,1.52814947,1.199225904,1.463220026,1.257287463,1.296569144,35
21,1.257838611,1.121597136,1.219535498,1.253295221,1.171574739,1.209402327,1.470206706,1.352190067,1.262204168,1.43747084,1.346055231,1.434642665,1.287693846,1.6272989,1.447909349,1.190723781,1.388395166,1.209164161,1.230987028,35
46,1.36126199,1.211587448,1.343919093,1.382784201,1.268292858,1.485808971,1.7264751,1.58697049,1.530738038,1.392192241,1.538066381,1.487780741,1.389944926,1.727967578,1.758963097,1.265310002,1.734850593,1.464627607,1.502357457,35
52,1.277095958,1.124524493,1.215531443,1.251436595,1.166994885,1.219681781,1.453159687,1.350721106,1.257677838,1.292880724,1.40474575,1.455983421,1.284295997,1.615219803,1.45132244,1.199879619,1.398348536,1.222159855,1.250435295,35
56,1.257838611,1.121597136,1.219535498,1.253295221,1.171574739,1.209402327,1.470206706,1.352190067,1.262204168,1.346055231,1.43747084,1.434642665,1.287693846,1.6272989,1.447909349,1.190723781,1.388395166,1.209164161,1.230987028,35
64,1.36126199,1.211587448,1.343919093,1.382784201,1.268292858,1.485808971,1.7264751,1.58697049,1.530738038,1.392192241,1.538066381,1.487780741,1.389944926,1.727967578,1.758963097,1.265310002,1.734850593,1.464627607,1.502357457,35
17,1.284354917,1.103530042,1.1894716,1.302665545,1.161243771,1.19281339,1.456674088,1.396638769,1.230349404,1.460153556,1.365272262,1.490297981,1.350342141,1.642566556,1.442842332,1.190821151,1.386573274,1.209015866,1.227403721,36
23,1.293975546,1.158830723,1.261954289,1.280967711,1.201599477,1.275070997,1.55224739,1.439010533,1.325251486,1.37318663,1.329842278,1.436827214,1.256518701,1.68524473,1.572679155,1.236240199,1.50650919,1.313912496,1.353871597,36
51,1.284354917,1.103530042,1.1894716,1.302665545,1.161243771,1.19281339,1.456674088,1.396638769,1.230349404,1.365272262,1.460153556,1.490297981,1.350342141,1.642566556,1.442842332,1.190821151,1.386573274,1.209015866,1.227403721,36
58,1.34359303,1.146528316,1.255784348,1.396681865,1.209137378,1.244212193,1.52234731,1.409737591,1.293966848,1.443715775,1.512348398,1.528183816,1.317962305,1.685223988,1.522455666,1.253440303,1.446016631,1.269043161,1.302770771,36
59,1.293975546,1.158830723,1.261954289,1.280967711,1.201599477,1.275070997,1.55224739,1.439010533,1.325251486,1.329842278,1.37318663,1.436827214,1.256518701,1.68524473,1.572679155,1.236240199,1.50650919,1.313912496,1.353871597,36
19,1.320146964,1.19802492,1.34094999,1.286070696,1.226919936,1.427552822,1.695318837,1.543972651,1.490169639,1.450662489,1.371612095,1.547864506,1.331244364,1.751827439,1.730107448,1.235718235,1.655294263,1.479021986,1.474321541,37
24,1.308935202,1.130451703,1.226042835,1.314441359,1.177160971,1.213161807,1.48629007,1.403032269,1.272093119,1.457430654,1.390682199,1.480227272,1.295901432,1.656390447,1.494888692,1.237141808,1.419048759,1.236632637,1.274185251,37
53,1.320146964,1.19802492,1.34094999,1.286070696,1.226919936,1.427552822,1.695318837,1.543972651,1.490169639,1.371612095,1.450662489,1.547864506,1.331244364,1.751827439,1.730107448,1.235718235,1.655294263,1.479021986,1.474321541,37
60,1.308935202,1.130451703,1.226042835,1.314441359,1.177160971,1.213161807,1.48629007,1.403032269,1.272093119,1.390682199,1.457430654,1.480227272,1.295901432,1.656390447,1.494888692,1.237141808,1.419048759,1.236632637,1.274185251,37
8,1.368249521,1.226535187,1.293020627,1.278374221,1.216202789,1.337078128,1.520936878,1.620080187,1.348171965,1.414760476,1.24431704,1.448167449,1.213916448,1.369451105,1.177610562,1.514495959,1.324275861,1.349420578,1.362777889,38
9,1.369482062,1.203929372,1.255336416,1.239927307,1.190408053,1.349203782,1.545268098,1.641372121,1.357621642,1.314512684,1.220722372,1.374489943,1.181911162,1.462735159,1.168387994,1.622312178,1.351402948,1.377344695,1.378576613,38
14,1.292598762,1.139668859,1.221890827,1.353789282,1.183746658,1.263407649,1.516931426,1.437095903,1.307882351,1.50364621,1.377929236,1.433477182,1.374804852,1.63949134,1.520150836,1.211989948,1.477520252,1.266116844,1.299490264,38
47,1.292598762,1.139668859,1.221890827,1.353789282,1.183746658,1.263407649,1.516931426,1.437095903,1.307882351,1.377929236,1.50364621,1.433477182,1.374804852,1.63949134,1.520150836,1.211989948,1.477520252,1.266116844,1.299490264,38
